area,single,"married, no kids","not married, no kids","married, with kids","not married, with kids",single parent,other,total,stadsdeel,m2,wd,dist,woz-value per m2
M34g Zeeburgereiland Noordoost,523.3676148796499,93.62700228832952,117.13073394495413,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,1015.9842182346197,5,83.57613884316903,479.12371150852823,0.009701899991881762,3125.301047120419
M35a Steigereiland Noord,182.0,56.0,77.0,127.0,71.0,89.0,6.0,608.0,5,91.01921097770155,391.17839144017154,0.013945114841405428,2915.0
M35b Steigereiland Zuid,222.0,62.0,52.0,281.0,138.0,130.0,8.0,893.0,5,123.94204946996466,460.0804769731471,0.01617892442971217,2830.0
M35c Haveneiland Zuidwest/Rieteiland West,188.0,112.0,73.0,334.0,160.0,110.0,8.0,985.0,5,152.85895806861498,226.42932481414155,0.020913620442248263,3148.0
M35e Haveneiland Noordwest,448.0,94.0,137.0,203.0,89.0,139.0,13.0,1123.0,5,103.80747235989325,226.42932481414155,0.020913620442248263,2623.0
M35f Haveneiland Noordoost,657.0,144.0,161.0,488.0,203.0,309.0,13.0,1975.0,5,103.7728852838934,226.42932481414155,0.020913620442248263,2589.0
M50a Strandeiland,523.3676148796499,93.62700228832952,117.13073394495413,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,1015.9842182346197,5,83.57613884316903,8.316008316008316,1.0117504619624795,3125.301047120419
M50b Middeneiland Zuidoost,523.3676148796499,93.62700228832952,117.13073394495413,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,1015.9842182346197,5,83.57613884316903,12.99501474894145,1.0125560571876364,3125.301047120419
M50c Middeneiland Noordoost,523.3676148796499,93.62700228832952,117.13073394495413,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,1015.9842182346197,5,83.57613884316903,12.99501474894145,1.0125560571876364,3125.301047120419
M50d Middeneiland Zuidwest,523.3676148796499,93.62700228832952,117.13073394495413,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,1015.9842182346197,5,83.57613884316903,12.99501474894145,1.0125560571876364,3125.301047120419
M50e Middeneiland Noordwest,523.3676148796499,93.62700228832952,117.13073394495413,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,1015.9842182346197,5,83.57613884316903,12.99501474894145,1.0125560571876364,3125.301047120419
M50f Buiteneiland,523.3676148796499,93.62700228832952,117.13073394495413,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,1015.9842182346197,5,83.57613884316903,8.316008316008316,1.0117504619624795,3125.301047120419
M50g Centrumeiland,523.3676148796499,93.62700228832952,117.13073394495413,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,1015.9842182346197,5,83.57613884316903,32.48753687235363,1.011646333750886,3125.301047120419
M51a Rieteiland Oost,3.0,5.0,1.0,17.0,11.0,3.0,15.697732997481108,55.69773299748111,5,83.57613884316903,32.48753687235363,1.0107142938712315,3125.301047120419
M51b Haveneiland Oost,614.0,121.0,150.0,520.0,295.0,227.0,11.0,1938.0,5,107.94208494208495,226.42932481414155,0.020913620442248263,2849.0
M51c Haveneiland Noord,306.0,52.0,81.0,151.0,53.0,133.0,6.0,782.0,5,85.09673913043478,226.42932481414155,0.020913620442248263,2760.0
M55b De Eenhoorn,1476.0,32.0,246.0,32.0,26.0,50.0,8.0,1870.0,5,44.18557300756254,702.1322506558108,0.02570942637555044,3438.0
M55c Julianapark,181.0,59.0,92.0,52.0,27.0,17.0,4.0,432.0,5,86.97341996455995,616.9748723753959,0.029657845584638718,3386.0
M55d Don Bosco,443.0,109.0,140.0,141.0,100.0,80.0,14.0,1027.0,5,82.12004628290426,750.9748723753959,0.023169469913281948,3457.0
M55e Frankendael,5.0,2.0,117.13073394495413,2.0,50.81190476190476,95.27446300715991,15.697732997481108,287.9148347114999,5,83.57613884316903,692.3299572226274,0.02574565975367931,3125.301047120419
M55f Tuindorp Amstelstation,293.0,53.0,28.0,35.0,11.0,81.0,2.0,503.0,5,52.25525269733106,568.0584569668339,0.031600771392520946,3522.0
M55g De Wetbuurt,454.0,117.0,70.0,121.0,67.0,90.0,7.0,926.0,5,71.37571214392804,498.5511804595574,0.03265511820909445,3335.0
M55h Tuindorp Frankendael,941.0,128.0,151.0,104.0,44.0,95.0,6.0,1469.0,5,67.74325553197939,587.8141633377235,0.02894851550636653,3299.0
